Transaction Hash,Status,Type,Method ,Block,Age,From,From_NameTag,To,To_NameTag,Amount,Value (USD),Asset,Txn Fee,
0xb901928c0c17c5ddd68a277c766d5275d9661ca5f6855bd019fd7bb590cee0f0,Success,ERC-20,Transfer,Transfer,22623697,2 days ago,0x628758f7a97eba5d83f21a4f11e2550976007706, Bithumb Routing Wallet #3,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"33,096.08","$1,704.68",Ultra Token(UOS),0.00009395
0xbed7eb8e837b8443aa0e78201e9f24a99c970c904a1f339b23bfa655e8b1e295,Success,ERC-20,Transfer,Transfer,22618949,2 days ago,0xFCf4d66E2f827a364bf128BA102FbcEc237d8003, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"41,761.06","$2,150.99",Ultra Token(UOS),0.00017893
0x99167b1376b13f78a2fd1f89eb61a2a649e3e011e20e14bbfa1e2766fb0afd8b,Success,ERC-20,Transfer,Transfer,22618947,2 days ago,0xb4669b10d923c2d141f2eccf382bbe06ceedf82b, Bithumb Treasury Routing Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"55,449.66","$2,856.05",Ultra Token(UOS),0.00018056
0x347a20827aab788e891fca66ecf9a6c5e3ccdb869823fa31026a8265bb92159d,Success,ERC-20,Transfer,Transfer,22618944,2 days ago,0x4F6795ce2Cd1CDB10d39602D8299a2e6375536e3, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"59,890","$3,084.75",Ultra Token(UOS),0.00017977
0xa9d1034bb1959e230646cdd0ddfc7bb8c90a15ed502aa625dbdf8000da4ffbf6,Success,ERC-20,Transfer,Transfer,22618940,2 days ago,0xdd83e1460fb4f50eab1fe50513374b3649c42f1a, Bithumb Treasury Routing Wallet #2,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"11,645.92",$599.85,Ultra Token(UOS),0.00017087
0x439ed506529b31e7d010d856803da217957ec07551d8b0cf320a9fe16d4e2d90,Success,ERC-20,Transfer,Transfer,22595138,6 days ago,0x22913eD9413Ec338E15673004B03EfFB9efEa731, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"181,087.64","$9,327.28",Ultra Token(UOS),0.00008448
0xaf82cdf7507ed2d8d8ce0480a510cf9608a0d909949463459f67c6605be46c33,Success,ERC-20,Transfer,Transfer,22595138,6 days ago,0x8E002073e706A2A6BD1949bfd17587D10D713896, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"28,303.27","$1,457.82",Ultra Token(UOS),0.00008448
0xc96d9699be985ffe06c12d35759f91adaadbc92f488d4dea0816775fb97b9390,Success,ERC-20,Transfer,Transfer,22595137,6 days ago,0x2eDC51b333091D0617A3d80A4f98132E74d815eF, ,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"35,558.97","$1,831.54",Ultra Token(UOS),0.00008431
0xbf9212d71ee420afb4e2a2816b78e718ce877d7d80b029421fd14b7ac4a382fc,Success,ERC-20,Transfer,Transfer,22592545,6 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),"140,000","$7,210.98",Ultra Token(UOS),0.0000567
0x4e805cd3b231848784632b06710821876b8575b6aaa8b5fde03e4c5297d12187,Success,ERC-20,Transfer,Transfer,22592389,6 days ago,0xbf801f7e8626564ec6dd0e5da4fbda58bc332e9c,Team Controlled Distribution Wallet,0xca5fef2a6ddff242f602a644ecc00ab42ffbbc26,Ultra Treasury (50M+),0.001,$0.00,Ultra Token(UOS),0.00007263
